"","latitude","longitude","Unit","multi","YrNights"
"132",38.9136495938974,-77.0697486183442,0,0,36
"133",38.9136996924606,-77.0023151303359,1,1,12
"134",38.9143141294652,-77.0175582123666,1,1,258
"135",38.9310652453785,-77.0388483201151,1,0,42
"136",38.9096786208754,-77.0274744989882,1,0,12
"137",38.9755924466805,-77.0107132630897,0,1,0.427397260273973
"138",38.9755359150565,-77.008961917069,0,1,59.441095890411
"139",38.889639139162,-77.0026271155534,1,0,6
"140",38.9420944908222,-77.0145465765053,1,0,36
"141",38.9166158968858,-77.0253881312575,1,0,56.8438356164384
"142",38.9242144985092,-77.0288365085234,0,1,66
"143",38.9123058256564,-77.0456111758278,1,1,6
"144",38.8924442848938,-76.9937084249296,0,0,198
"145",38.9331782098001,-77.0215581232405,1,1,18
"146",38.9391293462681,-77.018809143822,1,1,120
"147",38.8991644391174,-77.0168964928183,1,1,126
"148",38.8803241655307,-77.0019617031194,1,0,8
"149",38.9276118694335,-76.997658381686,0,0,162
"150",38.9287606005741,-77.048087780363,1,0,222
"151",38.889109045872,-76.9359778171817,1,0,100
"152",38.9068367819149,-77.0363585289493,1,0,12
"153",38.9003068909201,-77.016468044263,1,1,24
"154",38.9072954128489,-77.0345548139102,1,0,NA
"155",38.9200360136052,-77.0446813159794,1,0,257.095890410959
"156",38.885129809583,-77.0038413693525,1,0,12
"157",38.955353272136,-77.0795960223425,0,0,252
"158",38.8839413238891,-76.9821182236947,1,1,12
"159",38.8792332863108,-76.9976414257521,0,0,186
"160",38.8899975014238,-76.9946608907301,1,0,6
"161",38.8943658635032,-76.9828735235358,1,1,12
"162",38.9238379112561,-77.0385795635781,1,0,90
"163",38.9288130778439,-77.0752353934626,1,1,6
"164",38.910995650981,-77.0207437158841,1,1,72
"165",38.8827670121902,-76.9940377407712,1,0,18
"166",38.9251804720344,-76.9993543241712,1,0,102
"167",38.9094466947095,-77.0359065494293,0,1,108
"168",38.9146321111435,-77.0179529085074,1,1,66
"169",38.9306489529634,-77.0387214240291,1,0,138
"170",38.9582662727663,-77.0175044944621,1,1,24
"171",38.91813171242,-77.0331671800017,1,0,220
"172",38.8612418024462,-76.9886480416473,0,0,24
"173",38.9192647213224,-77.0468852984398,0,0,6
"174",38.8953298367444,-76.9879726318473,1,1,150
"175",38.9196618226552,-77.0247695407636,1,0,90
"176",38.9681587105175,-77.019883486513,0,0,282
"177",38.9308751746052,-77.0277556169896,0,0,36
"178",38.9181878385144,-77.0350705827369,0,0,96
"179",38.8799472173086,-76.9854452730906,1,0,12
"180",38.895402761642,-76.986937493991,1,0,126
"181",38.8911997960192,-76.9506789888874,1,1,150
"182",38.8853624943406,-77.0060083033826,1,1,12
"183",38.9285932447094,-77.0562878484135,1,0,24
"184",38.91862702124,-77.0458398573029,0,1,90
"185",38.9215006059678,-77.0990796945456,1,1,24
"186",38.9047329581058,-77.0163801938509,1,1,16
"187",38.932699279568,-77.0725813799125,1,0,18
"188",38.9161413769649,-77.0163671336166,1,1,36
"189",38.9085120757823,-77.0255825316026,0,1,120
"190",38.9125507775622,-77.0199902030569,0,1,18
"191",38.9336597530662,-77.0267102129506,0,1,54
"192",38.9235556228262,-77.0359235569823,1,1,30
"193",38.9274839039359,-77.0331266956546,0,0,18
"194",38.8934156072582,-77.0199032568502,1,0,60
"195",38.8814012306286,-76.9887371857615,1,0,6
"196",38.8973663968887,-77.0179337574807,1,1,30
"197",38.8875273425609,-76.9945284217064,1,0,18
"198",38.9263610924377,-77.0381117705156,0,0,24
"199",38.9110072527807,-77.0077642462635,1,1,60
"200",38.9142682288334,-77.0142909830543,0,1,6
"201",38.9359318189368,-76.9925147819112,1,0,36
"202",38.8817558847126,-77.0046931699227,0,0,12
"203",38.8633476101864,-76.9929416132778,1,0,1.26575342465753
"204",38.9177451498341,-77.0154955025695,0,1,18
"205",38.9152767306286,-77.0745042956197,0,1,24
"206",38.914262449895,-77.0757898393512,0,1,NA
"207",38.9026330804858,-77.0523567716763,0,1,6
"208",38.8817039296053,-76.9869622338572,0,1,24
"209",38.9204018956292,-77.0153174677095,1,0,6
"210",38.95720510901,-77.02070854179,1,0,144
"211",38.9074890292877,-77.0328890888309,1,0,NA
"212",38.9149238677886,-77.0172402344271,1,0,30
"213",38.9156920284137,-77.0702561046297,1,1,378
"214",38.9149763498045,-77.070857794161,1,1,240
"215",38.9138387896331,-77.0386771823846,0,1,6
"216",38.9173444110913,-77.0387557896864,1,0,156
"217",38.8923314055064,-77.0008421313117,1,1,60
"218",38.9798400049677,-77.0288964685304,0,1,48
"219",38.9712201721194,-77.0153696398235,0,0,6
"220",38.916382591079,-77.0705311993788,0,1,12
"221",38.9001069371025,-76.9998354162908,1,0,48
"222",38.906413823869,-77.0689909906485,1,0,48
"223",38.9150522276018,-77.001486969434,0,1,114
"224",38.936740928185,-77.0199474517636,0,1,36
"225",38.9293390698408,-77.0308785955383,1,1,40
"226",38.9151937073547,-77.0213592169393,0,0,42
"227",38.8970537128134,-77.0014600863848,1,1,186
"228",38.917651059135,-77.0398765838399,1,1,114
"229",38.9386916872413,-77.0183361472554,0,1,24
"230",38.9371333428747,-77.0179931525709,0,1,66
"231",38.925081951561,-77.0373873886404,0,0,216
"232",38.9002105453158,-76.9908499799772,0,0,102
"233",38.9573870275059,-77.0123385198621,0,1,96
"234",38.9589325237524,-77.0116763548175,0,1,24
"235",38.9384077633205,-77.0174592064736,0,0,66
"236",38.9189367744495,-77.0320168038815,1,0,19.8904109589041
"237",38.8722954548246,-77.0113990529775,0,1,24
"238",38.9252552880001,-77.027582607958,1,1,6
"239",38.9276201902674,-77.039136862203,1,0,6
"240",38.935691405912,-77.0423519156744,1,0,49.7260273972603
"241",38.8804694741136,-76.9852560938187,1,0,6
"242",38.9135482136399,-77.0319808232129,0,0,48
"243",38.8953228798663,-76.9887349748161,1,1,24
"244",38.9172903987378,-77.0249197115757,1,0,18
"245",38.8616145064636,-76.9891469055371,0,0,4.20821917808219
"246",38.974803230232,-77.0203541502251,1,1,246
"247",38.9757463578578,-77.0205626925456,0,1,162
"248",38.8876586572027,-76.9884229517489,1,0,12
"249",38.9315914703048,-77.0416869951584,1,0,6
"250",38.8997063486488,-77.016193367168,1,0,162
"251",38.9776414985,-77.0254545691056,0,0,36
"252",38.9016283326527,-76.9888257028599,0,0,6
"253",38.9163962034797,-77.0398523038197,1,1,16
"254",38.8753253930728,-77.0177437498512,1,0,70.586301369863
"255",38.9343214856866,-77.041797721245,1,0,72
"256",38.9274797483953,-77.038219976036,1,1,60
"257",38.8938190787528,-77.0207414325632,1,1,246
"258",38.8942315099236,-77.0186583218899,1,1,3.68219178082192
"259",38.9009509181124,-77.0329729827145,1,1,12.2958904109589
"260",38.9105211218597,-77.0477343740891,1,0,66
"261",38.8955270557774,-76.9927358308247,1,0,306
"262",38.9274371029583,-76.9815570130525,0,0,18
"263",38.8833641907636,-76.9506295330511,1,0,156
"264",38.9209422937381,-77.0335705506683,1,0,132
"265",38.9246499388852,-77.0403081387406,1,0,8
"266",38.9172139167951,-77.0298075690626,1,0,18
"267",38.949523787781,-76.9926317263953,0,1,18
"268",38.9003387612496,-77.016230916639,1,0,96
"269",38.9482858997341,-77.0732542676985,1,0,294
"270",38.9049291698208,-77.0263579015517,1,1,48
"271",38.9082324155797,-77.0250919394085,1,1,14.2520547945205
"272",38.9231396236789,-77.0767229104781,0,0,24
"273",38.9015220356932,-77.0172135851776,1,0,24
"274",38.9213849875349,-77.0299314721829,1,0,18
"275",38.9069216697318,-77.0242379154512,1,1,12
"276",38.8924669128589,-76.9826904290656,0,1,14
"277",38.9274677806013,-77.0384481970643,1,1,6
"278",38.9111692469615,-77.0548277533886,1,0,48
"279",38.9024524308952,-77.0514705036834,1,0,168
"280",38.915454439404,-77.0127643549858,1,0,6
"281",38.9138742376579,-77.0018130289367,1,1,31.2821917808219
"282",38.8738753607625,-76.9711800865991,0,0,24.8547945205479
"283",38.9433401959479,-77.0727520857522,0,0,12
"284",38.9238376976749,-77.0457707389729,1,0,24
"285",38.864167838883,-76.9885526681651,0,0,60
"286",38.897245404347,-76.9712452679739,0,0,6
"287",38.9123666327994,-77.0365429711264,1,0,30
"288",38.8894002234687,-76.9886565410188,1,0,6
"289",38.9245108527297,-77.0346811393617,1,0,72
"290",38.9269302512015,-77.0229938180198,1,1,84
"291",38.9260514531646,-77.0228758116001,1,1,30
"292",38.953293223715,-77.0276081569263,1,0,174
"293",38.9289926297385,-77.1022697072991,0,0,48
"294",38.953925825321,-77.0673853582228,1,0,8
"295",38.9374081900576,-77.0248756307184,0,1,306
"296",38.9189090707268,-77.0450876911119,1,0,72
"297",38.8962451076905,-77.0012087971836,1,0,12
"298",38.9532226540996,-77.016659360312,1,0,7.98904109589041
"299",38.9098461706359,-77.0500467563714,1,1,48
"300",38.8831417717459,-76.9830395936329,1,0,12
"301",38.9658144185557,-77.0346156200127,0,0,11.1452054794521
"302",38.9080461603033,-77.0332853119898,1,0,24
"303",38.9219685892033,-77.0803280352001,1,0,48
"304",38.9125778104456,-77.0485487191878,1,1,192
"305",38.9276143608918,-76.9957990061938,1,0,16
"306",38.9739692369803,-77.0161512538144,1,0,120
"307",38.9089729774848,-77.0471836816442,0,1,174
"308",38.8487274639163,-76.9787148289132,0,1,5.62191780821918
"309",38.9692166166836,-77.0243937435951,0,0,84
"310",38.9288357299669,-77.1003983180412,0,0,12
"311",38.881351944377,-76.9971980645344,1,1,18
"312",38.9298288133202,-77.0226251970425,0,0,114
"313",38.8959090945832,-76.9980267872364,1,0,192
"314",38.9361442791661,-77.030819207946,1,0,6
"315",38.9028748417645,-77.0168289069085,1,1,66
"316",38.8874242900994,-76.9970410646154,0,0,1.82465753424658
"317",38.9361190574822,-77.0343812572121,0,0,1.31506849315068
"318",38.9173913977453,-77.0283440897686,1,0,30
"319",38.9176337992225,-77.0393958824797,1,0,102
"320",38.9224542861585,-77.0343726895204,1,0,6.83835616438356
"321",38.9371916319908,-77.0329292043596,1,0,96
"322",38.9266013323784,-77.0386483261775,1,0,54
"323",38.8862702125166,-76.9873640653575,0,1,18
"324",38.8992303107814,-76.9895113311828,1,0,6
"325",38.8906962019706,-76.9776544003522,0,1,12
"326",38.8959322276713,-76.9778687161128,0,1,318
"327",38.8867214521815,-77.0026924140145,0,1,6
"328",38.9062567998707,-77.0266239940376,1,0,258
"329",38.926318726764,-77.0232089374575,0,1,84
"330",38.889417200192,-76.9894059854472,0,1,30
"331",38.9243966894476,-77.0347500123919,1,0,24
"332",38.9089307618476,-77.0261447489072,1,0,6
"333",38.9351551612864,-77.0450346633261,1,0,90
"334",38.9264049093728,-77.0339272706913,1,0,36.986301369863
"335",38.8932954068108,-76.9971388568532,1,0,66
"336",38.9383993981998,-77.0236337977272,0,1,17.8849315068493
"337",38.9365610557717,-77.0237739163667,0,1,510
"338",38.9285459031942,-77.023027143602,0,0,78
"339",38.9259988253633,-77.028060518225,0,1,0.871232876712329
"340",38.9172691443847,-77.046663174174,0,0,30
"341",38.9357414955106,-77.0209372363709,1,0,48
"342",38.9053569143494,-77.0257556007274,1,1,33.9945205479452
"343",38.8996126800174,-77.0529272130917,1,1,80
"344",38.8987871380599,-77.0528685554467,1,1,40
"345",38.9168956450617,-77.0310220552253,1,0,69.5835616438356
"346",38.9323877164793,-76.9878430333229,1,0,6
"347",38.9106621868406,-77.0219145460601,0,1,96
"348",38.9035027153739,-76.9886964207445,0,0,60
"349",38.884352330639,-76.9816238180512,1,0,6
"350",38.873218077729,-77.0109886581728,1,1,318
"351",38.9028528070033,-77.0189908996178,1,1,13.1671232876712
"352",38.9019071679656,-77.0513294753917,1,1,18
"353",38.9077480920122,-77.0232320856232,1,0,NA
"354",38.9465434436879,-77.089661153049,1,0,168
"355",38.9422132091745,-77.0880086826592,1,1,168
"356",38.9310470603439,-77.024740672622,0,0,6
"357",38.9605364287495,-77.0833337826544,0,1,210
"358",38.9312703009193,-77.0283394024172,1,0,8.81095890410959
"359",38.8830125265578,-76.9917338414312,1,0,6
"360",38.8932184177166,-76.9964156324665,1,0,72
"361",38.9263338035253,-77.0349955566383,1,0,114
"362",38.9139696818987,-77.046446992002,0,0,48
"363",38.9355496845859,-77.0273691904378,1,1,210
"364",38.9343643054434,-77.0399209975273,1,0,144
"365",38.9164889515934,-77.0174470114,0,0,60
"366",38.9087855210714,-77.0334499827532,1,0,168
"367",38.8976006193542,-76.9969217338197,0,1,60
"368",38.9077549510992,-77.0354231956833,1,1,66
"369",38.9031008157986,-77.0519294986171,1,1,108
"370",38.9197359050618,-77.0156381995756,0,1,60.213698630137
"371",38.9070633109493,-77.0365565255411,1,1,276
"372",38.8804128178772,-76.9904848665628,1,0,14
"373",38.9176566799791,-77.0131667800403,0,1,84
"374",38.8941921185174,-76.9834001495522,1,1,30
"375",38.9586975891259,-77.0181265604524,1,0,12
"376",38.9224928677594,-77.0803785850626,0,0,6
"377",38.9115156357979,-77.0382900819689,1,1,NA
"378",38.9613837438116,-77.0765815742903,1,1,60
"379",38.9280652453997,-77.0179490894704,0,0,318.246575342466
